person	number	level1	level2	level3	misc
PA	681-4417	Providers	ED	CEU	E1-E11
CEU RN 1	681-4455	Providers	ED	CEU	E1-E11
Provider	681-4432	Providers	ED	Fast track/Speed	F8-F15
Provider	681-4420	Providers	ED	Fast track/Speed	F8-F15
Junior resident 1	684-4452	Providers	ED	Peds	P1-P7 P16-P18
Junior resident 2	684-4475	Providers	ED	Peds	P1-P7 P16-P18
Senior resident	681-4404	Providers	ED	Peds	P1-P7 P16-P18
Attending	681-4447	Providers	ED	Peds	P1-P7 P16-P18
Peds RN 1	681-7484	Providers	ED	Peds	P1-P7 P16-P18
Peds RN 2	681-7485	Providers	ED	Peds	P1-P7 P16-P18
Peds RN TL	681-4405	Providers	ED	Peds	P1-P7 P16-P18
Junior resident	684-4446	Providers	ED	Pod A	A19-A24 A50-A55 HALL
Senior resident	681-4407	Providers	ED	Pod A	Resus 1-2 during off hours
Attending	681-4403	Providers	ED	Pod A	
A19,A20,A21,A22 RN	681-4446	Providers	ED	Pod A	
A23,A24,A50,A51 RN	681-5756	Providers	ED	Pod A	
A52,A53,A54,A55 RN	681-5765	Providers	ED	Pod A	
Junior resident	684-4449	Providers	ED	Pod B	B25-B29 B43-B49 EYE
PA	681-4409	Providers	ED	Pod B	
Attending	681-4181	Providers	ED	Pod B	
Junior resident	684-4451	Providers	ED	Pod C	C31-C42 S1-S8
Senior resident	681-4408	Providers	ED	Pod C	Resus 3-4 during off hours
Attending	681-4416	Providers	ED	Pod C	
C31,C32,C33,C34 RN	681-4586	Providers	ED	Pod C	
C35,C40,C41,C42 RN	681-7401	Providers	ED	Pod C	
C36,C37,C38,C39 RN	681-7456	Providers	ED	Pod C	
B25,B26,B28,EYE RN	681-4444	Providers	ED	Pod B	B25-B29 B43-B49 EYE
B29,B43,B44,B45 RN	681-5786	Providers	ED	Pod B	
B46,B47,B48,B49 RN	681-5793	Providers	ED	Pod B	
Junior resident	684-4403	Providers	ED	Resus	3-11pm M-F only
Senior resident	681-4535	Providers	ED	Resus	3-11pm M-F only
Resus RN	681-5755	Providers	ED	Resus	
Resus RN TL	681-4445	Providers	ED	Resus	
MD	681-4412	Providers	ED	Waiting room/Triage/Power	
Triage RN 1	681-4414	Providers	ED	Waiting room/Triage/Power	
Triage RN 2	681-5754	Providers	ED	Waiting room/Triage/Power	
Triage RN 3	681-5747	Providers	ED	Waiting room/Triage/Power	
Intake Nurse	681-4741	Providers	ED	Waiting room/Triage/Power	
Power	681-4420	Providers	ED	Waiting room/Triage/Power	
Charge Nurse	681-4410	Providers	ED	ED Charge Nurse	
Flow Nurse	684-4705	Providers	ED	ED Flow Nurse	
Resource Nurse	681-6809	Providers	ED	Resource Nurse	
Xray	684-1278	Techs	Radiographs	ED	
Body CT/MRI	684-7224	Reading Room	Body	Body	
Bone Plain Film 1	684-7247	Reading Room	MSK	MSK	
Bone Plain Film 2	684-7494	Reading Room	MSK	MSK	
Bone Plain Film 3	684-0576	Reading Room	MSK	MSK	
Bone Plain Film 4	684-7497	Reading Room	MSK	MSK	
Bone Plain Film 5	684-7527	Reading Room	MSK	MSK	
Bone Plain Film 6	684-7438	Reading Room	MSK	MSK	
Bone Plain Film 7	684-7191	Reading Room	MSK	MSK	
Bone CT/Arthrograms/Biopsies	684-7465	Reading Room	MSK	MSK	
Bone MR 1	684-7248	Reading Room	MSK	MSK	
Bone MR 2	684-0369	Reading Room	MSK	MSK	
Bone MR 3	684-0618	Reading Room	MSK	MSK	
Bone @ Page Rd	613-1776	Reading Room	MSK	MSK	
Breast MR	684-7946	Reading Room	Breast	Breast	
Breast intervention	684-1308	Reading Room	Breast	Breast	
Cancer Center Moonlighter	613-2744	Reading Room	Call Phones	Call Phones	
Cancer Center	613-2741, 613-2742, 613-2743, 613-2744, 613-2745, 613-2746	Reading Room	Cancer Center	Cancer Center	
Chest CT	684-7419	Reading Room	Chest	Chest	
Chest north films	684-7252	Reading Room	Chest	Chest	
CVI	684-7414	Reading Room	CVI	CVI	
GI	684-7250	Reading Room	GI	GI	
GU	684-7818	Reading Room	GI	GI	
Lenox Baker	684-1514	Reading Room	Offsite	Offsite	
Mammo	684-7816	Reading Room	Breast	Breast	
Neuro CT	684-7213	Reading Room	Neuro	Neuro	
Neuro MRI	684-7560	Reading Room	Neuro	Neuro	
Nucs (DMP)	684-7207	Reading Room	Nucs	Nucs	
Peds	684-7288	Reading Room	Peds	Peds	
OB (FDC)	684-2595	Reading Room	Offsite	Offsite	
PET 1	613-2094	Reading Room	Nucs	Nucs	
PET 2	613-2092	Reading Room	Nucs	Nucs	
Southpoint	572-2065	Reading Room	Offsite	Offsite	
Ultrasound	684-7381	Reading Room	Ultrasound	Ultrasound	
Vascular resident	684-7592	Reading Room	IR	IR	
Vascular fellow	684-7383	Reading Room	IR	IR	
CT TL TECH CELL PHONE	613-2772	Techs	CT	Cancer Center CT	
TL NURSE CELL PHONE	613-2774	Techs	CT	Cancer Center CT	
CCT 1	613-2716	Techs	CT	Cancer Center CT	
CCT 2	613-2715	Techs	CT	Cancer Center CT	
CCT 3	613-2714	Techs	CT	Cancer Center CT	
CCT 4	613-2713	Techs	CT	Cancer Center CT	
CCT 5	613-2712	Techs	CT	Cancer Center CT	
MR TL	613-2739	Techs	MR	Cancer Center MRI	
PET Coordinator	684-7971	Techs	Nucs	Cancer Center PET	
CMR1 (Skyra)	613-2734	Techs	MR	Cancer Center MRI	
CMR2 (Skyra)	613-2735	Techs	MR	Cancer Center MRI	
CMR3 (Optima)	613-2732	Techs	MR	Cancer Center MRI	
Work Area	613-2733	Techs	MR	Cancer Center MRI	
Cary Front Desk	385-8100	Techs	Offsite	Offsite	
Cary Reading Room	385-8102	Reading Room	Offsite	Offsite	
Cary MR Tech	684-1501	Techs	MR	Cary MRI	
Control desk	684-7221	Techs	CT	Duke North CT	
C1	684-7264	Techs	CT	Duke North CT	
C3	684-7263	Techs	CT	Duke North CT	
B5	684-7384	Techs	CT	Duke North CT	
J1	684-7355	Techs	CT	Duke North CT	
J3	684-7216	Techs	CT	Duke North CT	
D1 (u/s intervention)	684-7437	Techs	Ultrasound	Ultrasound Intervention	
CT Intervention desk	684-7331	Techs	CT	Duke North CT	
ED CT	684-1276	Techs	CT	ED	
CT team leader	613-2768	Techs	CT	Duke North CT	
Nurse North	684-7328	Techs	CT	Duke North CT	
DMP CT TL	385-1364	Techs	CT	DMP CT	
DMP CT1	385-7562	Techs	CT	DMP CT	
DMP CT2 (Discovery 750)	385-1362	Techs	CT	DMP CT	
DMP CT3 (FORCE)	385-1361	Techs	CT	DMP CT	
DMP CT Neuro Procedure Scanner	385-1365	Techs	CT	DMP CT	
DMP MR TL	385-1381	Techs	MR	DMP MR	
DMP MR2	385-1383	Techs	MR	DMP MR	
DMP MR3	385-1384	Techs	MR	DMP MR	
DMP MR4	385-1385	Techs	MR	DMP MR	
DMP Reception	385-1441	Other	Duke	DMP	
NICU	681-5551	Providers	Duke North	Duke North	N5500 Neonatal ICN
PICU	681-5541	Providers	Duke North	Duke North	N5600 PICU
PCICU	681-4241	Providers	Duke North	Duke North	N4200 PCICU 4200 peds cards ICU
6E - MICU	385-6341	Providers	DMP	DMP	
6W - Trauma/SICU	385-6941	Providers	DMP	DMP	
6W SICU Resident	970-SICU (970-7428)	Providers	DMP	DMP	
7E - Heart Center	385-7341	Providers	DMP	DMP	
7W - Heart Center	385-7941	Providers	DMP	DMP	
8E - Neurosciences	385-8341	Providers	DMP	DMP	
8W - Neurosciences	385-8941	Providers	DMP	DMP	
DMP Perioperative (PACU)	385-3322	Providers	DMP	DMP	
DMP OR Front Desk	385-3901	Providers	DMP	DMP	
2100 (General surgery)	681-2141	Providers	Duke North	Duke North	DUH N2100 GENERAL SURGERY
2200 (PACU Overflow)	681-2241	Providers	Duke North	Duke North	
2300 (General Surgery)	681-2341	Providers	Duke North	Duke North	DUH N2300 GENERAL SURGERY
3300 (Cardiothoracic Surgery)	681-3341	Providers	Duke North	Duke North	DUH N3300 GEN THOR CARD SURG
5400 (OB/Gyn triage)	681-6070	Providers	Duke North	Duke North	
5700 (L&D Post Partum)	681-5741	Providers	Duke North	Duke North	DUH N5700 L D POST PARTUM
5800 (OB Post Partum)	681-5841	Providers	Duke North	Duke North	DUH N5800 OB POST PARTUM
6100 (Ortho surgery)	681-6141	Providers	Duke North	Duke North	DUH N6100 ORTHOPEDIC SURGERY
7700 (Cardiac ICU)	385-7741	Providers	Duke North	Duke North	DUH N7700 CARDIAC INTENSE CARE
PACU - DUKE NORTH PERIOP	681-3002	Providers	Duke North	Duke North	
Pre-op Holding	684-4718	Providers	Duke North	Duke North	
Central venous access team leader	812-6744	Providers	Duke North	Duke North	
Where they place PICCs (3B PACU)	684-5035	Providers	Duke North	Duke North	
Duke North, Outpatient–Location 7419	613-1772	Providers	Duke North	Duke North	
Brier Creek	206-4889 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Brier Creek	206-4840, 206-4837 (direct)	Providers	Duke Primary Care	Duke Primary Care	
Brier Creek RN	206-1347	Providers	Duke Primary Care	Duke Primary Care	
Butner Creedmor	528-1535 (Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Butner Creedmor RN	385-3651 Emerg. Only	Providers	Duke Primary Care	Duke Primary Care	
Croasdaile	383-4355 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
DUC South	572-1868 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Henderson	252-492-3152(Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Hillsborough	732-8131 (Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Knightdale	373-1800 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Mebane	563-8400 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Morrisville	425-3185 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Timberlyne	942-8500 (Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Triangle Family	572-2000 (Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Wake Forest	570-6060 (Option 0)	Providers	Duke Primary Care	Duke Primary Care	
Waverly Place	954-4159 (Option 3)	Providers	Duke Primary Care	Duke Primary Care	
Croasdaile RN	613-8249	Providers	Duke Primary Care	Duke Primary Care	
DUC South RN	660-0387	Providers	Duke Primary Care	Duke Primary Care	
Henderson RN	252-738-2521, 970-8379 (Pager)	Providers	Duke Primary Care	Duke Primary Care	
Knightdale RN	373-1868	Providers	Duke Primary Care	Duke Primary Care	
Mebane RN	304-7195, 304-7187	Providers	Duke Primary Care	Duke Primary Care	
Morrisville RN	425-3177	Providers	Duke Primary Care	Duke Primary Care	
Timberlyne RN	370-3671, 370-3686, 370-3694	Providers	Duke Primary Care	Duke Primary Care	
Triangle Family RN	613-7913	Providers	Duke Primary Care	Duke Primary Care	
Wake Forest RN	660-1048	Providers	Duke Primary Care	Duke Primary Care	
Waverly Place RN	954-4159 (Option 4)	Providers	Duke Primary Care	Duke Primary Care	
Urgent Care After Hours Pager	970-6813	Providers	Duke Urgent Care	Duke Urgent Care	Includes:Knightdale Morrisville Brier Creek Croasdaile DUC South, Urgent Care open until 8 PM
Radiology Main	954-3624	Other	Duke Raleigh	Duke Raleigh	
Julaine Grady (admin) TTH	810-4165	Other	Duke Raleigh	Duke Raleigh	
Nursing	862-5963	Techs	CT	Duke Raleigh	
PACS-Trish Livingston	862-5950	Other	Duke Raleigh	Duke Raleigh	
Eric Williams	862-5946	Other	Duke Raleigh	Duke Raleigh	
Julaine Grady (admin) MWF	862-5003	Other	Duke Raleigh	Duke Raleigh	
CT	954-3653	Techs	CT	Duke Raleigh	
CT 1 (Main Hospital)	954-3368	Techs	CT	Duke Raleigh	
CT 2 (Main Hospital)	954-3368	Techs	CT	Duke Raleigh	
IR	954-3545	Techs	IR	Duke Raleigh	
IR PA: Erin Gallagher	954-3629	Techs	IR	Duke Raleigh	
MRI	954-3600, 954-3604	Techs	MR	Duke Raleigh	
MRI MOBILE	862-5868	Techs	MR	Duke Raleigh	
NM	954-3346 / 954-3555	Techs	Nucs	Duke Raleigh	
PET	954-5259	Techs	Nucs	Duke Raleigh	
CT/MRI	954-3597	Reading Room	Offsite	Duke Raleigh	
Fluoro/Plain films/US	954-3619	Reading Room	Offsite	Duke Raleigh	
IR	954-3636	Reading Room	Offsite	Duke Raleigh	
General	862-5200	Other	Duke Raleigh	Duke Raleigh Outpatient Imaging Center	
CT	862-5205	Techs	CT	Duke Raleigh Outpatient Imaging Center	
Mammo	862-5211	Techs	Radiographs	Duke Raleigh Outpatient Imaging Center	
